mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
29.33601975440979,3.9850749694541516,0.03674538930257162,0.006564763355898515,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",-0.0015062427693271446,-0.001853106236359404,-0.0019890688321243474,-0.0017828059459369654,0.00020328444743621604,2
8.496464808781942,1.2075221274632328,0.019069592157999676,0.0032106241426472846,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.004309018454239032,-0.0028541372794343525,-0.0022267567589424066,-0.003129970830871931,0.0008721683908507938,3
11.859599828720093,2.8175679880505973,0.02031548817952474,0.005511412366055467,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",-0.0020405004952327144,-0.0009980001419879648,-0.002287249473209825,-0.001775250036810168,0.0005587541580958072,1
6.486801862716675,0.8931151187642787,0.011376301447550455,0.0010780588709223434,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",-0.0028145311858285655,-0.00295361139498793,-0.004946347823913394,-0.00357149680157663,0.0009738231620303856,7
7.43510087331136,1.344987346236104,0.022488514582316082,0.001928617548472461,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",-0.005000553994068676,-0.0027394608204238,-0.0025164640713250743,-0.0034188262952725167,0.0011221493579678227,5
13.791900634765625,0.6546449388199738,0.01931341489156087,0.00814731235112785,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.005255604231637084,-0.005259287699355741,-0.005422724184010636,-0.005312538705001154,7.792740990614437e-05,9
11.629404147466024,2.869617723673873,0.02161860466003418,0.008081048614580495,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",-0.014007380025596664,-0.014574332728618111,-0.01575292844080065,-0.01477821373167181,0.0007270536041723115,10
9.680639664332071,2.4542772655347065,0.021990617116292317,0.013173983622433823,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.00436166781144284,-0.002043285382933845,-0.004238029138046098,-0.003547660777474261,0.0010649508990758841,6
24.171719233194988,1.3469593740851362,0.029339313507080078,0.01640896955670465,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.004934319673176343,-0.004440427261824534,-0.004615969191499387,-0.004663572042166755,0.00020442105573459734,8
18.125262419382732,4.879462188754806,0.01362458864847819,0.002503466759013794,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.0035608571707687674,-0.0027720774200339754,-0.0036076896265995694,-0.0033135414058007707,0.00038334993208262886,4
