mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
39.61768460273743,1.4697320650748993,0.03120557467142741,0.00627417066663002,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",-0.00314037657781742,-0.002310584544299302,-0.0023223291284143804,-0.002591096750177034,0.00038842908456456426,2
15.066871484120687,4.242238761367198,0.022284269332885742,0.001244074329328199,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.005915108109350918,-0.002114198055418839,-0.0020244603667669003,-0.003351255510512219,0.0018132876816471806,4
17.523773670196533,0.8216125505499423,0.023542165756225586,0.0017460575809881515,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",-0.0016733126338442006,-0.0017907991361190664,-0.0016214188336331039,-0.0016951768678654569,7.085645237408393e-05,1
8.141079107920328,0.5838396695359321,0.013744354248046875,0.0008217248660873155,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",-0.006537075553883883,-0.002515041828998296,-0.002366729553777861,-0.0038062823122200135,0.0019319114764541818,7
9.487128814061483,0.32205634507606984,0.024402777353922527,0.003291364292572102,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",-0.004436924470977983,-0.0025118945869961238,-0.0030341872033452636,-0.003327668753773123,0.0008128278123879039,3
14.871904691060385,0.207246066600844,0.013956546783447266,0.0008351609416286334,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.009653742509374239,-0.00571827562855203,-0.005517786952343479,-0.006963268363423249,0.00190421239621442,9
9.180676857630411,0.1508741686741082,0.015065590540568033,0.0011431684048306726,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",-0.02023865588966407,-0.013978233590498169,-0.015593358905343203,-0.016603416128501813,0.0026537248710086204,10
7.94217046101888,1.6364158106078917,0.01582058270772298,0.0006201903002904739,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.003706821436798434,-0.0027827354536414063,-0.004117599095495676,-0.0035357186619785056,0.0005582247786506916,6
18.460729519526165,0.08273798405416564,0.020540952682495117,0.00020625949412689197,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.0051283358268140525,-0.004389062536551323,-0.003655656530441073,-0.004391018297935483,0.0006012203956638792,8
18.803982734680176,2.1814275889425563,0.015189170837402344,0.0038909822166641223,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.00495292380368033,-0.0029742176975255438,-0.0024568653881842273,-0.0034613356297967003,0.0010756516825773806,5
